Variable:,tasmin
,"Norfolk Island","Administrative unit not available"
2015,18.20,18.23
2016,18.02,18.07
2017,17.99,18.00
2018,18.17,18.25
2019,18.06,18.03
2020,18.18,18.19
2021,18.30,18.34
2022,18.21,18.21
2023,18.02,17.99
2024,18.28,18.33
2025,18.36,18.41
2026,18.40,18.39
2027,18.46,18.46
2028,18.53,18.48
2029,18.22,18.27
2030,18.38,18.40
2031,18.40,18.40
2032,18.15,18.19
2033,18.27,18.23
2034,18.53,18.51
2035,18.62,18.57
2036,18.54,18.49
2037,18.40,18.42
2038,18.58,18.63
2039,18.46,18.48
2040,18.44,18.43
2041,18.49,18.42
2042,18.39,18.43
2043,18.36,18.36
2044,18.38,18.32
2045,18.43,18.33
2046,18.34,18.38
2047,18.75,18.69
2048,18.63,18.58
2049,18.76,18.73
2050,18.71,18.69
2051,18.53,18.53
2052,18.39,18.44
2053,18.17,18.23
2054,18.34,18.35
2055,18.46,18.46
2056,18.54,18.53
2057,18.40,18.32
2058,18.43,18.39
2059,18.65,18.62
2060,18.58,18.57
2061,18.47,18.49
2062,18.32,18.37
2063,18.41,18.45
2064,18.49,18.55
2065,18.47,18.51
2066,18.33,18.27
2067,18.43,18.45
2068,18.40,18.37
2069,18.52,18.50
2070,18.35,18.35
2071,18.51,18.40
2072,18.54,18.56
2073,18.51,18.50
2074,18.36,18.36
2075,18.46,18.43
2076,18.31,18.26
2077,18.13,18.13
2078,18.44,18.50
2079,18.18,18.18
2080,18.38,18.44
2081,18.47,18.49
2082,18.50,18.50
2083,18.30,18.40
2084,18.45,18.44
2085,18.40,18.34
2086,18.13,18.09
2087,18.43,18.49
2088,18.41,18.41
2089,18.28,18.27
2090,18.26,18.32
2091,18.42,18.43
2092,18.36,18.39
2093,18.51,18.51
2094,18.21,18.22
2095,18.18,18.24
2096,18.46,18.45
2097,18.38,18.29
2098,18.17,18.26
2099,18.27,18.28
2100,18.19,18.23
